head,relation,tail,event_date,factor_label,occurrences
day/2016-04-01,hasLikelyContributingFactor,factor/other-vehicular,2016-04-01,OTHER VEHICULAR,25
day/2016-04-23,hasLikelyContributingFactor,factor/traffic-control-disregarded,2016-04-23,TRAFFIC CONTROL DISREGARDED,20
day/2016-09-15,hasLikelyContributingFactor,factor/reaction-to-other-uninvolved-vehicle,2016-09-15,REACTION TO OTHER UNINVOLVED VEHICLE,13
day/2016-03-13,hasLikelyContributingFactor,factor/other-electronic-device,2016-03-13,OTHER ELECTRONIC DEVICE,10
day/2016-03-19,hasLikelyContributingFactor,factor/lost-consciousness,2016-03-19,LOST CONSCIOUSNESS,74
day/2016-04-11,hasLikelyContributingFactor,factor/driver-inattention-distraction,2016-04-11,DRIVER INATTENTION/DISTRACTION,296
day/2016-04-16,hasLikelyContributingFactor,factor/alcohol-involvement,2016-04-16,ALCOHOL INVOLVEMENT,19
day/2016-04-21,hasLikelyContributingFactor,factor/fatigued-drowsy,2016-04-21,FATIGUED/DROWSY,115
day/2016-04-22,hasLikelyContributingFactor,factor/fatigued-drowsy,2016-04-22,FATIGUED/DROWSY,121
day/2016-04-26,hasLikelyContributingFactor,factor/traffic-control-disregarded,2016-04-26,TRAFFIC CONTROL DISREGARDED,14
day/2016-12-20,hasLikelyContributingFactor,factor/pedestrian-bicyclist-other-pedestrian-error-confusion,2016-12-20,PEDESTRIAN/BICYCLIST/OTHER PEDESTRIAN ERROR/CONFUSION,6
day/2016-03-17,hasLikelyContributingFactor,factor/physical-disability,2016-03-17,PHYSICAL DISABILITY,22
day/2016-04-11,hasLikelyContributingFactor,factor/outside-car-distraction,2016-04-11,OUTSIDE CAR DISTRACTION,18
day/2016-04-12,hasLikelyContributingFactor,factor/pavement-slippery,2016-04-12,PAVEMENT SLIPPERY,33
day/2016-04-14,hasLikelyContributingFactor,factor/driver-inattention-distraction,2016-04-14,DRIVER INATTENTION/DISTRACTION,297
day/2016-02-28,hasLikelyContributingFactor,factor/other-vehicular,2016-02-28,OTHER VEHICULAR,42
day/2016-03-14,hasLikelyContributingFactor,factor/lost-consciousness,2016-03-14,LOST CONSCIOUSNESS,63
day/2016-03-22,hasLikelyContributingFactor,factor/failure-to-yield-right-of-way,2016-03-22,FAILURE TO YIELD RIGHT-OF-WAY,71
day/2016-04-01,hasLikelyContributingFactor,factor/backing-unsafely,2016-04-01,BACKING UNSAFELY,48
day/2016-04-07,hasLikelyContributingFactor,factor/traffic-control-disregarded,2016-04-07,TRAFFIC CONTROL DISREGARDED,11
day/2016-04-08,hasLikelyContributingFactor,factor/fell-asleep,2016-04-08,FELL ASLEEP,7
day/2016-09-16,hasLikelyContributingFactor,factor/alcohol-involvement,2016-09-16,ALCOHOL INVOLVEMENT,9
day/2016-10-18,hasLikelyContributingFactor,factor/other-vehicular,2016-10-18,OTHER VEHICULAR,29
day/2016-10-30,hasLikelyContributingFactor,factor/driver-inattention-distraction,2016-10-30,DRIVER INATTENTION/DISTRACTION,162
