boroughLabel,factorLabel,highCollisionDays,totalBoroughCollisions,totalFactorOccurrences
BROOKLYN,DRIVER INATTENTION/DISTRACTION,179,25811,28435
QUEENS,DRIVER INATTENTION/DISTRACTION,100,13221,16921
MANHATTAN,DRIVER INATTENTION/DISTRACTION,59,7724,10419
BROOKLYN,FAILURE TO YIELD RIGHT-OF-WAY,159,23078,8085
BROOKLYN,FATIGUED/DROWSY,124,18249,7446
BROOKLYN,BACKING UNSAFELY,155,22484,5175
QUEENS,FATIGUED/DROWSY,74,9777,5049
BROOKLYN,OTHER VEHICULAR,156,22555,5025
QUEENS,FAILURE TO YIELD RIGHT-OF-WAY,90,11907,4852
BROOKLYN,FOLLOWING TOO CLOSELY,119,16885,4438
BROOKLYN,TURNING IMPROPERLY,153,22154,3967
MANHATTAN,FATIGUED/DROWSY,50,6563,3849
BROOKLYN,LOST CONSCIOUSNESS,116,17096,3428
QUEENS,BACKING UNSAFELY,89,11767,3210
MANHATTAN,FAILURE TO YIELD RIGHT-OF-WAY,53,6932,3110
